emoji,name,group,sub_group,codepoints,labels
👇🏽,backhand index pointing down: medium skin tone,People & Body,hand-single-finger,1F447 1F3FD,
👇🏾,backhand index pointing down: medium-dark skin tone,People & Body,hand-single-finger,1F447 1F3FE,
👇🏿,backhand index pointing down: dark skin tone,People & Body,hand-single-finger,1F447 1F3FF,
☝️,index pointing up,People & Body,hand-single-finger,261D FE0F,
☝,index pointing up,People & Body,hand-single-finger,261D,
☝🏻,index pointing up: light skin tone,People & Body,hand-single-finger,261D 1F3FB,
☝🏼,index pointing up: medium-light skin tone,People & Body,hand-single-finger,261D 1F3FC,
☝🏽,index pointing up: medium skin tone,People & Body,hand-single-finger,261D 1F3FD,
☝🏾,index pointing up: medium-dark skin tone,People & Body,hand-single-finger,261D 1F3FE,
☝🏿,index pointing up: dark skin tone,People & Body,hand-single-finger,261D 1F3FF,
👍,thumbs up,People & Body,hand-fingers-closed,1F44D,
👍🏻,thumbs up: light skin tone,People & Body,hand-fingers-closed,1F44D 1F3FB,
👍🏼,thumbs up: medium-light skin tone,People & Body,hand-fingers-closed,1F44D 1F3FC,
👍🏽,thumbs up: medium skin tone,People & Body,hand-fingers-closed,1F44D 1F3FD,
👍🏾,thumbs up: medium-dark skin tone,People & Body,hand-fingers-closed,1F44D 1F3FE,
👍🏿,thumbs up: dark skin tone,People & Body,hand-fingers-closed,1F44D 1F3FF,
👎,thumbs down,People & Body,hand-fingers-closed,1F44E,
👎🏻,thumbs down: light skin tone,People & Body,hand-fingers-closed,1F44E 1F3FB,
👎🏼,thumbs down: medium-light skin tone,People & Body,hand-fingers-closed,1F44E 1F3FC,
👎🏽,thumbs down: medium skin tone,People & Body,hand-fingers-closed,1F44E 1F3FD,
👎🏾,thumbs down: medium-dark skin tone,People & Body,hand-fingers-closed,1F44E 1F3FE,
👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed,1F44E 1F3FF,
✊,raised fist,People & Body,hand-fingers-closed,270A,
✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed,270A 1F3FB,
✊🏼,raised fist: medium-light skin tone,People & Body,hand-fingers-closed,270A 1F3FC,
✊🏽,raised fist: medium skin tone,People & Body,hand-fingers-closed,270A 1F3FD,
✊🏾,raised fist: medium-dark skin tone,People & Body,hand-fingers-closed,270A 1F3FE,
✊🏿,raised fist: dark skin tone,People & Body,hand-fingers-closed,270A 1F3FF,
👊,oncoming fist,People & Body,hand-fingers-closed,1F44A,
👊🏻,oncoming fist: light skin tone,People & Body,hand-fingers-closed,1F44A 1F3FB,
👊🏼,oncoming fist: medium-light skin tone,People & Body,hand-fingers-closed,1F44A 1F3FC,
👊🏽,oncoming fist: medium skin tone,People & Body,hand-fingers-closed,1F44A 1F3FD,
👊🏾,oncoming fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F44A 1F3FE,
👊🏿,oncoming fist: dark skin tone,People & Body,hand-fingers-closed,1F44A 1F3FF,
🤛,left-facing fist,People & Body,hand-fingers-closed,1F91B,
🤛🏻,left-facing fist: light skin tone,People & Body,hand-fingers-closed,1F91B 1F3FB,
🤛🏼,left-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,1F91B 1F3FC,
🤛🏽,left-facing fist: medium skin tone,People & Body,hand-fingers-closed,1F91B 1F3FD,
🤛🏾,left-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F91B 1F3FE,
🤛🏿,left-facing fist: dark skin tone,People & Body,hand-fingers-closed,1F91B 1F3FF,
🤜,right-facing fist,People & Body,hand-fingers-closed,1F91C,
🤜🏻,right-facing fist: light skin tone,People & Body,hand-fingers-closed,1F91C 1F3FB,
🤜🏼,right-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,1F91C 1F3FC,
🤜🏽,right-facing fist: medium skin tone,People & Body,hand-fingers-closed,1F91C 1F3FD,
🤜🏾,right-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F91C 1F3FE,
🤜🏿,right-facing fist: dark skin tone,People & Body,hand-fingers-closed,1F91C 1F3FF,
👏,clapping hands,People & Body,hands,1F44F,
👏🏻,clapping hands: light skin tone,People & Body,hands,1F44F 1F3FB,
👏🏼,clapping hands: medium-light skin tone,People & Body,hands,1F44F 1F3FC,
👏🏽,clapping hands: medium skin tone,People & Body,hands,1F44F 1F3FD,
👏🏾,clapping hands: medium-dark skin tone,People & Body,hands,1F44F 1F3FE,
👏🏿,clapping hands: dark skin tone,People & Body,hands,1F44F 1F3FF,
🙌,raising hands,People & Body,hands,1F64C,
🙌🏻,raising hands: light skin tone,People & Body,hands,1F64C 1F3FB,
🙌🏼,raising hands: medium-light skin tone,People & Body,hands,1F64C 1F3FC,
🙌🏽,raising hands: medium skin tone,People & Body,hands,1F64C 1F3FD,
🙌🏾,raising hands: medium-dark skin tone,People & Body,hands,1F64C 1F3FE,
🙌🏿,raising hands: dark skin tone,People & Body,hands,1F64C 1F3FF,
👐,open hands,People & Body,hands,1F450,
👐🏻,open hands: light skin tone,People & Body,hands,1F450 1F3FB,
👐🏼,open hands: medium-light skin tone,People & Body,hands,1F450 1F3FC,
👐🏽,open hands: medium skin tone,People & Body,hands,1F450 1F3FD,
👐🏾,open hands: medium-dark skin tone,People & Body,hands,1F450 1F3FE,
👐🏿,open hands: dark skin tone,People & Body,hands,1F450 1F3FF,
🤲,palms up together,People & Body,hands,1F932,
🤲🏻,palms up together: light skin tone,People & Body,hands,1F932 1F3FB,
🤲🏼,palms up together: medium-light skin tone,People & Body,hands,1F932 1F3FC,
🤲🏽,palms up together: medium skin tone,People & Body,hands,1F932 1F3FD,
🤲🏾,palms up together: medium-dark skin tone,People & Body,hands,1F932 1F3FE,
🤲🏿,palms up together: dark skin tone,People & Body,hands,1F932 1F3FF,
🤝,handshake,People & Body,hands,1F91D,
🙏,folded hands,People & Body,hands,1F64F,
🙏🏻,folded hands: light skin tone,People & Body,hands,1F64F 1F3FB,
🙏🏼,folded hands: medium-light skin tone,People & Body,hands,1F64F 1F3FC,
🙏🏽,folded hands: medium skin tone,People & Body,hands,1F64F 1F3FD,
🙏🏾,folded hands: medium-dark skin tone,People & Body,hands,1F64F 1F3FE,
🙏🏿,folded hands: dark skin tone,People & Body,hands,1F64F 1F3FF,
✍️,writing hand,People & Body,hand-prop,270D FE0F,
✍,writing hand,People & Body,hand-prop,270D,
✍🏻,writing hand: light skin tone,People & Body,hand-prop,270D 1F3FB,
✍🏼,writing hand: medium-light skin tone,People & Body,hand-prop,270D 1F3FC,
✍🏽,writing hand: medium skin tone,People & Body,hand-prop,270D 1F3FD,
✍🏾,writing hand: medium-dark skin tone,People & Body,hand-prop,270D 1F3FE,
✍🏿,writing hand: dark skin tone,People & Body,hand-prop,270D 1F3FF,
💅,nail polish,People & Body,hand-prop,1F485,
💅🏻,nail polish: light skin tone,People & Body,hand-prop,1F485 1F3FB,
💅🏼,nail polish: medium-light skin tone,People & Body,hand-prop,1F485 1F3FC,
💅🏽,nail polish: medium skin tone,People & Body,hand-prop,1F485 1F3FD,
💅🏾,nail polish: medium-dark skin tone,People & Body,hand-prop,1F485 1F3FE,
💅🏿,nail polish: dark skin tone,People & Body,hand-prop,1F485 1F3FF,
🤳,selfie,People & Body,hand-prop,1F933,
🤳🏻,selfie: light skin tone,People & Body,hand-prop,1F933 1F3FB,
🤳🏼,selfie: medium-light skin tone,People & Body,hand-prop,1F933 1F3FC,
🤳🏽,selfie: medium skin tone,People & Body,hand-prop,1F933 1F3FD,
🤳🏾,selfie: medium-dark skin tone,People & Body,hand-prop,1F933 1F3FE,
🤳🏿,selfie: dark skin tone,People & Body,hand-prop,1F933 1F3FF,
💪,flexed biceps,People & Body,body-parts,1F4AA,
💪🏻,flexed biceps: light skin tone,People & Body,body-parts,1F4AA 1F3FB,
💪🏼,flexed biceps: medium-light skin tone,People & Body,body-parts,1F4AA 1F3FC,
💪🏽,flexed biceps: medium skin tone,People & Body,body-parts,1F4AA 1F3FD,
💪🏾,flexed biceps: medium-dark skin tone,People & Body,body-parts,1F4AA 1F3FE,
💪🏿,flexed biceps: dark skin tone,People & Body,body-parts,1F4AA 1F3FF,
🦾,mechanical arm,People & Body,body-parts,1F9BE,
🦿,mechanical leg,People & Body,body-parts,1F9BF,
🦵,leg,People & Body,body-parts,1F9B5,
🦵🏻,leg: light skin tone,People & Body,body-parts,1F9B5 1F3FB,
🦵🏼,leg: medium-light skin tone,People & Body,body-parts,1F9B5 1F3FC,
🦵🏽,leg: medium skin tone,People & Body,body-parts,1F9B5 1F3FD,
🦵🏾,leg: medium-dark skin tone,People & Body,body-parts,1F9B5 1F3FE,
🦵🏿,leg: dark skin tone,People & Body,body-parts,1F9B5 1F3FF,
🦶,foot,People & Body,body-parts,1F9B6,
🦶🏻,foot: light skin tone,People & Body,body-parts,1F9B6 1F3FB,
🦶🏼,foot: medium-light skin tone,People & Body,body-parts,1F9B6 1F3FC,
🦶🏽,foot: medium skin tone,People & Body,body-parts,1F9B6 1F3FD,
🦶🏾,foot: medium-dark skin tone,People & Body,body-parts,1F9B6 1F3FE,
🦶🏿,foot: dark skin tone,People & Body,body-parts,1F9B6 1F3FF,
👂,ear,People & Body,body-parts,1F442,
👂🏻,ear: light skin tone,People & Body,body-parts,1F442 1F3FB,
👂🏼,ear: medium-light skin tone,People & Body,body-parts,1F442 1F3FC,
👂🏽,ear: medium skin tone,People & Body,body-parts,1F442 1F3FD,
👂🏾,ear: medium-dark skin tone,People & Body,body-parts,1F442 1F3FE,
👂🏿,ear: dark skin tone,People & Body,body-parts,1F442 1F3FF,
🦻,ear with hearing aid,People & Body,body-parts,1F9BB,
🦻🏻,ear with hearing aid: light skin tone,People & Body,body-parts,1F9BB 1F3FB,
🦻🏼,ear with hearing aid: medium-light skin tone,People & Body,body-parts,1F9BB 1F3FC,
🦻🏽,ear with hearing aid: medium skin tone,People & Body,body-parts,1F9BB 1F3FD,
🦻🏾,ear with hearing aid: medium-dark skin tone,People & Body,body-parts,1F9BB 1F3FE,
🦻🏿,ear with hearing aid: dark skin tone,People & Body,body-parts,1F9BB 1F3FF,
👃,nose,People & Body,body-parts,1F443,
👃🏻,nose: light skin tone,People & Body,body-parts,1F443 1F3FB,
👃🏼,nose: medium-light skin tone,People & Body,body-parts,1F443 1F3FC,
👃🏽,nose: medium skin tone,People & Body,body-parts,1F443 1F3FD,
👃🏾,nose: medium-dark skin tone,People & Body,body-parts,1F443 1F3FE,
👃🏿,nose: dark skin tone,People & Body,body-parts,1F443 1F3FF,
🧠,brain,People & Body,body-parts,1F9E0,
🦷,tooth,People & Body,body-parts,1F9B7,
🦴,bone,People & Body,body-parts,1F9B4,
👀,eyes,People & Body,body-parts,1F440,
👁️,eye,People & Body,body-parts,1F441 FE0F,
👁,eye,People & Body,body-parts,1F441,
👅,tongue,People & Body,body-parts,1F445,
👄,mouth,People & Body,body-parts,1F444,
👶,baby,People & Body,person,1F476,
👶🏻,baby: light skin tone,People & Body,person,1F476 1F3FB,
👶🏼,baby: medium-light skin tone,People & Body,person,1F476 1F3FC,
👶🏽,baby: medium skin tone,People & Body,person,1F476 1F3FD,
👶🏾,baby: medium-dark skin tone,People & Body,person,1F476 1F3FE,
👶🏿,baby: dark skin tone,People & Body,person,1F476 1F3FF,
🧒,child,People & Body,person,1F9D2,
🧒🏻,child: light skin tone,People & Body,person,1F9D2 1F3FB,
🧒🏼,child: medium-light skin tone,People & Body,person,1F9D2 1F3FC,
🧒🏽,child: medium skin tone,People & Body,person,1F9D2 1F3FD,
🧒🏾,child: medium-dark skin tone,People & Body,person,1F9D2 1F3FE,
🧒🏿,child: dark skin tone,People & Body,person,1F9D2 1F3FF,
👦,boy,People & Body,person,1F466,
👦🏻,boy: light skin tone,People & Body,person,1F466 1F3FB,
👦🏼,boy: medium-light skin tone,People & Body,person,1F466 1F3FC,
👦🏽,boy: medium skin tone,People & Body,person,1F466 1F3FD,
👦🏾,boy: medium-dark skin tone,People & Body,person,1F466 1F3FE,
👦🏿,boy: dark skin tone,People & Body,person,1F466 1F3FF,
👧,girl,People & Body,person,1F467,
👧🏻,girl: light skin tone,People & Body,person,1F467 1F3FB,
👧🏼,girl: medium-light skin tone,People & Body,person,1F467 1F3FC,
👧🏽,girl: medium skin tone,People & Body,person,1F467 1F3FD,
👧🏾,girl: medium-dark skin tone,People & Body,person,1F467 1F3FE,
👧🏿,girl: dark skin tone,People & Body,person,1F467 1F3FF,
🧑,person,People & Body,person,1F9D1,
🧑🏻,person: light skin tone,People & Body,person,1F9D1 1F3FB,
🧑🏼,person: medium-light skin tone,People & Body,person,1F9D1 1F3FC,
🧑🏽,person: medium skin tone,People & Body,person,1F9D1 1F3FD,
🧑🏾,person: medium-dark skin tone,People & Body,person,1F9D1 1F3FE,
🧑🏿,person: dark skin tone,People & Body,person,1F9D1 1F3FF,
👱,person: blond hair,People & Body,person,1F471,
👱🏻,"person: light skin tone, blond hair",People & Body,person,1F471 1F3FB,
👱🏼,"person: medium-light skin tone, blond hair",People & Body,person,1F471 1F3FC,
👱🏽,"person: medium skin tone, blond hair",People & Body,person,1F471 1F3FD,
👱🏾,"person: medium-dark skin tone, blond hair",People & Body,person,1F471 1F3FE,
👱🏿,"person: dark skin tone, blond hair",People & Body,person,1F471 1F3FF,
👨,man,People & Body,person,1F468,
👨🏻,man: light skin tone,People & Body,person,1F468 1F3FB,
👨🏼,man: medium-light skin tone,People & Body,person,1F468 1F3FC,
👨🏽,man: medium skin tone,People & Body,person,1F468 1F3FD,
👨🏾,man: medium-dark skin tone,People & Body,person,1F468 1F3FE,
👨🏿,man: dark skin tone,People & Body,person,1F468 1F3FF,
🧔,man: beard,People & Body,person,1F9D4,
🧔🏻,"man: light skin tone, beard",People & Body,person,1F9D4 1F3FB,
🧔🏼,"man: medium-light skin tone, beard",People & Body,person,1F9D4 1F3FC,
🧔🏽,"man: medium skin tone, beard",People & Body,person,1F9D4 1F3FD,
🧔🏾,"man: medium-dark skin tone, beard",People & Body,person,1F9D4 1F3FE,
🧔🏿,"man: dark skin tone, beard",People & Body,person,1F9D4 1F3FF,
👱‍♂️,man: blond hair,People & Body,person,1F471 200D 2642 FE0F,
👱‍♂,man: blond hair,People & Body,person,1F471 200D 2642,
👱🏻‍♂️,"man: light skin tone, blond hair",People & Body,person,1F471 1F3FB 200D 2642 FE0F,
👱🏻‍♂,"man: light skin tone, blond hair",People & Body,person,1F471 1F3FB 200D 2642,
👱🏼‍♂️,"man: medium-light skin tone, blond hair",People & Body,person,1F471 1F3FC 200D 2642 FE0F,
👱🏼‍♂,"man: medium-light skin tone, blond hair",People & Body,person,1F471 1F3FC 200D 2642,
👱🏽‍♂️,"man: medium skin tone, blond hair",People & Body,person,1F471 1F3FD 200D 2642 FE0F,
👱🏽‍♂,"man: medium skin tone, blond hair",People & Body,person,1F471 1F3FD 200D 2642,
👱🏾‍♂️,"man: medium-dark skin tone, blond hair",People & Body,person,1F471 1F3FE 200D 2642 FE0F,
👱🏾‍♂,"man: medium-dark skin tone, blond hair",People & Body,person,1F471 1F3FE 200D 2642,
👱🏿‍♂️,"man: dark skin tone, blond hair",People & Body,person,1F471 1F3FF 200D 2642 FE0F,
👱🏿‍♂,"man: dark skin tone, blond hair",People & Body,person,1F471 1F3FF 200D 2642,
👨‍🦰,man: red hair,People & Body,person,1F468 200D 1F9B0,
👨🏻‍🦰,"man: light skin tone, red hair",People & Body,person,1F468 1F3FB 200D 1F9B0,
👨🏼‍🦰,"man: medium-light skin tone, red hair",People & Body,person,1F468 1F3FC 200D 1F9B0,
👨🏽‍🦰,"man: medium skin tone, red hair",People & Body,person,1F468 1F3FD 200D 1F9B0,
👨🏾‍🦰,"man: medium-dark skin tone, red hair",People & Body,person,1F468 1F3FE 200D 1F9B0,
👨🏿‍🦰,"man: dark skin tone, red hair",People & Body,person,1F468 1F3FF 200D 1F9B0,
👨‍🦱,man: curly hair,People & Body,person,1F468 200D 1F9B1,
👨🏻‍🦱,"man: light skin tone, curly hair",People & Body,person,1F468 1F3FB 200D 1F9B1,
👨🏼‍🦱,"man: medium-light skin tone, curly hair",People & Body,person,1F468 1F3FC 200D 1F9B1,
👨🏽‍🦱,"man: medium skin tone, curly hair",People & Body,person,1F468 1F3FD 200D 1F9B1,
👨🏾‍🦱,"man: medium-dark skin tone, curly hair",People & Body,person,1F468 1F3FE 200D 1F9B1,
👨🏿‍🦱,"man: dark skin tone, curly hair",People & Body,person,1F468 1F3FF 200D 1F9B1,
👨‍🦳,man: white hair,People & Body,person,1F468 200D 1F9B3,
👨🏻‍🦳,"man: light skin tone, white hair",People & Body,person,1F468 1F3FB 200D 1F9B3,
👨🏼‍🦳,"man: medium-light skin tone, white hair",People & Body,person,1F468 1F3FC 200D 1F9B3,
👨🏽‍🦳,"man: medium skin tone, white hair",People & Body,person,1F468 1F3FD 200D 1F9B3,
👨🏾‍🦳,"man: medium-dark skin tone, white hair",People & Body,person,1F468 1F3FE 200D 1F9B3,
👨🏿‍🦳,"man: dark skin tone, white hair",People & Body,person,1F468 1F3FF 200D 1F9B3,
